Date,Downloads,Sum
2016-08-18,20,20.0
2016-08-19,11,31.0
2016-08-20,16,47.0
2016-08-21,27,74.0
2016-08-22,3,77.0
2016-08-23,5,82.0
2016-08-24,1,83.0
2016-08-25,2,85.0
2016-08-26,1,86.0
2016-08-27,1,87.0
2016-08-28,0,87.0
2016-08-29,1,88.0
2016-08-30,1,89.0
2016-08-31,88,177.0
2016-09-01,5,182.0
2016-09-02,2,184.0
2016-09-03,32,216.0
2016-09-04,22,238.0
2016-09-05,10,248.0
2016-09-06,4,252.0
2016-09-07,8,260.0
2016-09-08,7,267.0
2016-09-09,3,270.0
2016-09-10,11,281.0
2016-09-11,8,289.0
2016-09-12,8,297.0
2016-09-13,3,300.0
2016-09-14,24,324.0
2016-09-15,16,340.0
2016-09-16,17,357.0
2016-09-17,21,378.0
2016-09-18,29,407.0
2016-09-19,16,423.0
2016-09-20,12,435.0
2016-09-21,12,447.0
2016-09-22,19,466.0
2016-09-23,13,479.0
2016-09-24,16,495.0
2016-09-25,23,518.0
2016-09-26,13,531.0
2016-09-27,25,556.0
2016-09-28,11,567.0
2016-09-29,8,575.0
2016-09-30,13,588.0
2016-10-01,23,611.0
2016-10-02,25,636.0
2016-10-03,17,653.0
2016-10-04,21,674.0
2016-10-05,16,690.0
2016-10-06,16,706.0
2016-10-07,12,718.0
2016-10-08,20,738.0
2016-10-09,25,763.0
2016-10-10,24,787.0
2016-10-11,17,804.0
2016-10-12,20,824.0
2016-10-13,25,849.0
2016-10-14,31,880.0
2016-10-15,21,901.0
2016-10-16,23,924.0
2016-10-17,21,945.0
2016-10-18,27,972.0
2016-10-19,20,992.0
2016-10-20,21,1013.0
